radius_lower_m,radius_upper_m,radius_center_m,count,chrono_response_mm_mean,chrono_response_mm_rmse,chrono_response_mm_p05,chrono_response_mm_median,chrono_response_mm_p95,genesis_response_mm_mean,genesis_response_mm_rmse,genesis_response_mm_p05,genesis_response_mm_median,genesis_response_mm_p95,error_mm_mean,error_mm_rmse,error_mm_p05,error_mm_median,error_mm_p95,phase,inside_action_radius
0.13,0.135,0.1325,174,0.0,0.0,0.0,0.0,0.0,0.94789719581604,0.9485791325569153,0.8860582709312439,0.9501683712005615,1.0011448860168457,0.94789719581604,0.9485791325569153,0.8860582709312439,0.9501683712005615,1.0011448860168457,loaded,False
0.135,0.14,0.1375,164,0.0,0.0,0.0,0.0,0.0,0.8697419762611389,0.8703216314315796,0.8147640228271484,0.8712533712387085,0.916260302066803,0.8697419762611389,0.8703216314315796,0.8147640228271484,0.8712533712387085,0.916260302066803,loaded,False
0.14,0.145,0.14250000000000002,168,0.0,0.0,0.0,0.0,0.0,0.7973372936248779,0.797860860824585,0.7498887181282043,0.7986318469047546,0.8410613536834717,0.7973372936248779,0.797860860824585,0.7498887181282043,0.7986318469047546,0.8410613536834717,loaded,False
0.145,0.15,0.1475,190,0.0,0.0,0.0,0.0,0.0,0.7296540141105652,0.7301939725875854,0.6836490035057068,0.7276980876922607,0.779069721698761,0.7296540141105652,0.7301939725875854,0.6836490035057068,0.7276980876922607,0.779069721698761,loaded,False
0.15,0.155,0.1525,188,0.0,0.0,0.0,0.0,0.0,0.6666964888572693,0.6671410799026489,0.6277207136154175,0.6674379110336304,0.7089754939079285,0.6666964888572693,0.6671410799026489,0.6277207136154175,0.6674379110336304,0.7089754939079285,loaded,False
0.155,0.16,0.1575,209,0.0,0.0,0.0,0.0,0.0,0.6139997243881226,0.6144296526908875,0.5774697065353394,0.6150572299957275,0.6538403630256653,0.6139997243881226,0.6144296526908875,0.5774697065353394,0.6150572299957275,0.6538403630256653,loaded,False
0.16,0.165,0.1625,201,0.0,0.0,0.0,0.0,0.0,0.5698752999305725,0.5703093409538269,0.5349423289299011,0.5690723061561584,0.6043992638587952,0.5698752999305725,0.5703093409538269,0.5349423289299011,0.5690723061561584,0.6043992638587952,loaded,False
0.165,0.17,0.1675,210,0.0,0.0,0.0,0.0,0.0,0.5406372547149658,0.5410951972007751,0.5077810883522034,0.540505051612854,0.5739012956619263,0.5406372547149658,0.5410951972007751,0.5077810883522034,0.540505051612854,0.5739012956619263,loaded,False
0.17,0.17500000000000002,0.17250000000000001,231,0.0,0.0,0.0,0.0,0.0,0.5174570083618164,0.5179247856140137,0.4847079813480377,0.5189525485038757,0.549246609210968,0.5174570083618164,0.5179247856140137,0.4847079813480377,0.5189525485038757,0.549246609210968,loaded,False
0.17500000000000002,0.18,0.1775,201,0.0,0.0,0.0,0.0,0.0,0.4995693266391754,0.500115156173706,0.46817153692245483,0.5014252662658691,0.5323622226715088,0.4995693266391754,0.500115156173706,0.46817153692245483,0.5014252662658691,0.5323622226715088,loaded,False
0.18,0.185,0.1825,232,0.0,0.0,0.0,0.0,0.0,0.4910525679588318,0.49174973368644714,0.45357316732406616,0.49437516927719116,0.5237188339233398,0.4910525679588318,0.49174973368644714,0.45357316732406616,0.49437516927719116,0.5237188339233398,loaded,False
0.185,0.19,0.1875,228,0.0,0.0,0.0,0.0,0.0,0.47934529185295105,0.480171799659729,0.43993210792541504,0.48158058524131775,0.5156053900718689,0.47934529185295105,0.480171799659729,0.43993210792541504,0.48158058524131775,0.5156053900718689,loaded,False
0.19,0.195,0.1925,260,0.0,0.0,0.0,0.0,0.0,0.4747296869754791,0.4757653474807739,0.42690882086753845,0.4845834970474243,0.5116295218467712,0.4747296869754791,0.4757653474807739,0.42690882086753845,0.4845834970474243,0.5116295218467712,loaded,False
0.195,0.2,0.1975,247,0.0,0.0,0.0,0.0,0.0,0.46429309248924255,0.4656257629394531,0.411532998085022,0.46846678853034973,0.5074526071548462,0.46429309248924255,0.4656257629394531,0.411532998085022,0.46846678853034973,0.5074526071548462,loaded,False
0.2,0.20500000000000002,0.2025,237,0.0,0.0,0.0,0.0,0.0,0.4532703459262848,0.4549514353275299,0.3956957459449768,0.4527439475059509,0.5043395161628723,0.4532703459262848,0.4549514353275299,0.3956957459449768,0.4527439475059509,0.5043395161628723,loaded,False
0.20500000000000002,0.21,0.20750000000000002,268,0.0,0.0,0.0,0.0,0.0,0.4493885636329651,0.45152392983436584,0.38400134444236755,0.4540020823478699,0.502251148223877,0.4493885636329651,0.45152392983436584,0.38400134444236755,0.4540020823478699,0.502251148223877,loaded,False
0.21,0.215,0.2125,265,0.0,0.0,0.0,0.0,0.0,0.43724358081817627,0.4396459460258484,0.36796677112579346,0.44093772768974304,0.49724456667900085,0.43724358081817627,0.4396459460258484,0.36796677112579346,0.44093772768974304,0.49724456667900085,loaded,False
0.215,0.22,0.2175,289,0.0,0.0,0.0,0.0,0.0,0.4299675524234772,0.4329478144645691,0.3519444465637207,0.4339335560798645,0.4937865138053894,0.4299675524234772,0.4329478144645691,0.3519444465637207,0.4339335560798645,0.4937865138053894,loaded,False
