phase,axis,coordinate_m,chrono_response_mm,genesis_response_mm,error_mm
loaded,x,0.09500000000000003,0.0,0.5562882423400879,0.5562882423400879
loaded,x,0.10000000000000003,0.0,0.8719799518585205,0.8719799518585205
loaded,x,0.10500000000000004,0.0,1.0698164701461792,1.0698164701461792
loaded,x,0.11000000000000004,0.0,1.201042652130127,1.201042652130127
loaded,x,0.11500000000000005,0.0,1.191107988357544,1.191107988357544
loaded,x,0.12,0.0,1.1370184421539307,1.1370184421539307
loaded,x,0.125,0.0,1.0707099437713623,1.0707099437713623
loaded,x,0.13,0.0,0.996036946773529,0.996036946773529
loaded,x,0.135,0.0,0.9123788475990295,0.9123788475990295
loaded,x,0.14,0.0,0.8306111097335815,0.8306111097335815
loaded,x,0.14500000000000002,0.0,0.7541521787643433,0.7541521787643433
loaded,x,0.15000000000000002,0.0,0.6828065514564514,0.6828065514564514
loaded,x,0.15500000000000003,0.0,0.6206346154212952,0.6206346154212952
loaded,x,0.16000000000000003,0.0,0.5695571899414062,0.5695571899414062
loaded,x,0.16500000000000004,0.0,0.5290458798408508,0.5290458798408508
loaded,x,0.17000000000000004,0.0,0.4971396327018738,0.4971396327018738
loaded,x,0.17500000000000004,0.0,0.4734136164188385,0.4734136164188385
loaded,x,0.18,0.0,0.45770397782325745,0.45770397782325745
loaded,x,0.185,0.0,0.4443710148334503,0.4443710148334503
loaded,x,0.19,0.0,0.4314008951187134,0.4314008951187134
loaded,x,0.195,0.0,0.41873660683631897,0.41873660683631897
loaded,x,0.2,0.0,0.4061677157878876,0.4061677157878876
loaded,x,0.20500000000000002,0.0,0.39357197284698486,0.39357197284698486
loaded,x,0.21000000000000002,0.0,0.38086503744125366,0.38086503744125366
loaded,x,0.21500000000000002,0.0,0.3675043284893036,0.3675043284893036
loaded,x,0.22000000000000003,0.0,0.3534274697303772,0.3534274697303772
loaded,x,0.22500000000000003,0.0,0.3381531536579132,0.3381531536579132
loaded,x,0.23000000000000004,0.0,0.32154953479766846,0.32154953479766846
loaded,x,0.23500000000000004,0.0,0.3036799728870392,0.3036799728870392
loaded,x,0.24000000000000005,0.0,0.28445425629615784,0.28445425629615784
loaded,x,0.24500000000000005,0.0,0.2674698531627655,0.2674698531627655
loaded,x,0.25000000000000006,0.0,0.2595977783203125,0.2595977783203125
loaded,x,0.25500000000000006,0.0,0.2596864402294159,0.2596864402294159
loaded,x,0.26000000000000006,0.0,0.2684764862060547,0.2684764862060547
loaded,x,0.26500000000000007,0.0,0.2855682969093323,0.2855682969093323
loaded,x,0.2700000000000001,0.0,0.3112080693244934,0.3112080693244934
loaded,x,0.2750000000000001,0.0,0.3614169657230377,0.3614169657230377
loaded,x,0.27999999999999997,0.0,0.5401777029037476,0.5401777029037476
loaded,x,0.285,0.0,0.8661490678787231,0.8661490678787231
loaded,x,0.29,0.0,1.328031063079834,1.328031063079834
loaded,x,0.295,0.0,1.6977859735488892,1.6977859735488892
loaded,y,-0.295,0.0,1.6207146644592285,1.6207146644592285
loaded,y,-0.29,0.0,1.2658613920211792,1.2658613920211792
loaded,y,-0.285,0.0,0.8237884640693665,0.8237884640693665
loaded,y,-0.27999999999999997,0.0,0.5097941160202026,0.5097941160202026
loaded,y,-0.27499999999999997,0.0,0.33623650670051575,0.33623650670051575
loaded,y,-0.27,0.0,0.2865418791770935,0.2865418791770935
