radius_lower_m,radius_upper_m,radius_center_m,count,jp_mean,jp_rmse,jp_p05,jp_median,jp_p95,delta_jp_mean,delta_jp_rmse,delta_jp_p05,delta_jp_median,delta_jp_p95,det_f_mean,det_f_rmse,det_f_p05,det_f_median,det_f_p95,delta_det_f_mean,delta_det_f_rmse,delta_det_f_p05,delta_det_f_median,delta_det_f_p95,vertical_displacement_mm_mean,vertical_displacement_mm_rmse,vertical_displacement_mm_p05,vertical_displacement_mm_median,vertical_displacement_mm_p95,phase,inside_action_radius
0.28500000000000003,0.29,0.2875,7477,2.8039108656230383e-05,0.0005258115124888718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9459831714630127,0.9467437267303467,0.8644952178001404,0.9535331130027771,0.9947564601898193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.29,0.295,0.2925,7701,6.551757542183623e-05,0.0007978034554980695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9448329210281372,0.9456251859664917,0.8629311323165894,0.9528070092201233,0.9954500198364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.295,0.3,0.2975,7668,0.00013584340922534466,0.0021442887373268604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433002471923828,0.9440993070602417,0.8637776374816895,0.9513731598854065,0.995568037033081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.3,0.305,0.3025,7440,0.0002993862144649029,0.003862056415528059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370416402816772,0.9379487633705139,0.860293447971344,0.9428437948226929,0.9953309297561646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.305,0.31,0.3075,6894,0.00040677248034626245,0.004570084623992443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9386542439460754,0.9395654797554016,0.8615992665290833,0.9465756416320801,0.9954865574836731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.31,0.315,0.3125,5569,0.0003908444778062403,0.004449300467967987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397891163825989,0.9406710863113403,0.8611361980438232,0.947412371635437,0.9954044222831726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.315,0.32,0.3175,5173,0.00035359826870262623,0.004253307823091745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9384097456932068,0.9393332004547119,0.8563161492347717,0.9459996819496155,0.9954621195793152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.32,0.325,0.3225,4608,0.00035628859768621624,0.004204011522233486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409321546554565,0.9418244361877441,0.8610010743141174,0.9486707448959351,0.9954558610916138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.325,0.33,0.3275,4492,0.00025080449995584786,0.0035506589338183403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938474714756012,0.9393854141235352,0.8562186360359192,0.946489691734314,0.9945306777954102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.33,0.335,0.3325,4128,0.00032304017804563046,0.004118375480175018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9416428208351135,0.9425441026687622,0.859894871711731,0.949734091758728,0.9949997067451477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.335,0.34,0.3375,3566,0.0003130995319224894,0.00401182658970356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402561187744141,0.9411762952804565,0.8540087938308716,0.9485307931900024,0.9945948719978333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.34,0.34500000000000003,0.3425,3611,0.00027957651764154434,0.00379420118406415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940040647983551,0.9409591555595398,0.858519434928894,0.9470317959785461,0.9946543574333191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.34500000000000003,0.35000000000000003,0.34750000000000003,3119,0.00031835740082897246,0.004104204010218382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9406933188438416,0.9415891170501709,0.8592630624771118,0.9490472078323364,0.9941603541374207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.35000000000000003,0.355,0.35250000000000004,2999,0.0003417310945224017,0.004226245917379856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387049674987793,0.9396593570709229,0.853131890296936,0.9473268389701843,0.9943834543228149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.355,0.36,0.3575,2793,0.0003614185261540115,0.0044220564886927605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9423987865447998,0.9432809948921204,0.8600094318389893,0.9507526159286499,0.9945623874664307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.36,0.365,0.3625,2265,0.00041277409764006734,0.004677664488554001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388521909713745,0.939832866191864,0.8516468405723572,0.9484962224960327,0.9944702386856079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.365,0.37,0.3675,2530,0.00040661412640474737,0.004778485279530287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411728978157043,0.9420455694198608,0.8612838983535767,0.949425995349884,0.9940304756164551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.37,0.375,0.3725,1945,0.00042574843973852694,0.0048161884769797325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419066309928894,0.9428026080131531,0.86117023229599,0.9527016878128052,0.9945396780967712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.375,0.38,0.3775,1995,0.0004730871587526053,0.005230539944022894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395407438278198,0.9404547810554504,0.8603643178939819,0.9499981999397278,0.9926216006278992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
